Part Number    General Description                           Marketing Status    Package        Supply Voltage (V) min    Supply Voltage (V) max    Load (Ω) typ  Standby Function    Mute      Output Power (W) (@ 10% THD, Typ Load) max    Input Channels typ  Filterless    Standby Current (µA) typ    Output Stage Mode
TDA7491HV      20W+20W dual BTL class-D audio amplifier      Active              PowerSSO 36                         5                        18               8  Yes                 Yes                                               20                     2  No            2.5                         PWM
TDA7491LP      5W+5W dual BTL class-D audio amplifier        Active              PowerSSO 36                         5                        14               8  Yes                 Yes                                                5                     2  Yes           -                           PWM
TDA7491MV      25W mono BTL class-D audio amplifier          Active              PowerSSO 36                         5                        18               6  Yes                 Yes                                               25                     1  Yes           2.5                         PWM
TDA7491P       10W+10W dual BTL class-D audio amplifier      Active              PowerSSO 36                         5                        18               6  Yes                 Yes                                               10                     2  Yes           -                           PWM
TDA7492        50 W + 50 W dual BTL class-D audio amplifier  Active              PowerSSO 36                         8                        26               6  Yes                 Yes                                               50                     2  No            2.5                         PWM
TDA7492E       79W+79W dual BTL class D audio amplifier      Active              PowerSSO 36                         7                        26               4  Yes                 Yes                                               79                     2  No            1                           PWM
TDA7492MV      50W Mono BTL class-D audio amplifier          Active              PowerSSO 36                        10                        26               6  Yes                 Yes                                               50                     1  No            2.5                         PWM
TDA7492P       25 W + 25 W dual BTL class-D audio amplifier  Active              PowerSSO 36                         8                        26               8  Yes                 Yes                                               25                     2  No            2.5                         PWM
TDA7492PE      45W+45W dual BTL class D audio amplifier      Active              PowerSSO 36                        14                        26               6  Yes                 Yes                                               45                     2  No            1                           PWM
TDA7498        100W+100W dual BTL Class-D audio amplifier    Active              PowerSSO 36                        14                        39               6  Yes                 Yes                                              100                     2  No            1                           PWM
TDA7498E       160W+160W dual BTL class D audio amplifier    Active              PowerSSO 36                        14                        39               4  Yes                 Yes                                              160                     2  No            1                           PWM
TDA7498L       80 W + 80 W dual BTL class-D audio amplifier  Active              PowerSSO 36                        14                        36               6  Yes                 Yes                                               80                     2  No            1                           PWM
TDA7498MV      100-watt mono BTL class-D audio amplifier     Active              PowerSSO 36                        14                        39               6  Yes                 Yes                                              100                     1  No            1                           PWM
